Year,Number_yaws,polio_cases,cases_guinea_worm,Number_rabies,Number_malaria,Number_hiv,Number_tuberculosis,Number_smallpox,Number_cholera_cases,id,entity_id
2000,,0,0,129.43309,426963.9,7468.415,53250.133,,,905,29
1980,,147,0,,,,,,,906,33
1992,,0,0,0.08241813,0,6.3724866,155.12416,,,907,25
1996,,0,0,1.461226,0,4.214765,1136.0934,,,908,22
2001,,0,0,123.154594,404768.66,4815.3394,54074.35,,,909,29
1981,,1043,0,,,,,,,910,33
1997,,0,0,1.4364233,0,4.081757,1110.2296,,,911,22
2002,,0,0,112.83096,338468.97,4039.7134,54419.582,,,912,29
1982,,483,0,,,,,,,913,33
1993,,0,0,0.09096214,0,7.1490293,155.61667,,,914,25
2003,,0,0,100.47028,253131.42,3609.584,54487.758,,,915,29
1983,,490,0,,,,,,,916,33
1998,,0,0,1.3927256,0,3.7647285,1063.1956,,,917,22
2004,,0,0,88.140564,175503.38,3521.228,54368.02,,57,918,29
1994,,0,0,0.09763266,0,7.6222715,156.62827,,,919,25
1984,,1232,0,,,,,,,920,33
1999,,0,0,1.3546659,0,3.6532266,1003.3889,,,921,22
2005,,2,0,78.066925,134359.8,3239.461,54295.254,,,922,29
1985,,441,0,,,,,,,923,33
1995,,0,0,0.10267739,0,7.9001513,158.3501,,,924,25
2000,,0,0,1.329481,0,3.6777463,957.51874,,,925,22
2006,,2,0,69.56878,123500.875,3496.2505,53985.332,,,926,29
1986,,665,0,,,,,,,927,33
2007,,0,0,61.002888,115854.28,3702.3672,53164.938,,,928,29
1987,,364,0,,,,,,,929,33
1996,,0,0,0.09953447,0,8.249547,160.86453,,,930,25
2001,,0,0,1.3076755,0,4.212538,932.91364,,,931,22
2008,,0,0,53.19567,110197.945,3480.4854,52123.87,,,932,29
1988,,378,0,,,,,,,933,33
2002,,0,0,1.2444015,0,5.0100594,916.9189,,,934,22
1989,,301,0,,,,,,,935,33
1997,,0,0,0.08332432,0,8.624324,164.09726,,,936,25
2009,,0,0,47.005764,105215.96,3415.0627,51172.633,,39,937,29
2003,,0,0,1.1462514,0,5.862404,904.2905,,,938,22
1990,,196,0,2.963585,1296717.6,36160.594,12932.91,,,939,33
2010,,0,0,43.32286,99478.99,2771.8118,50638.688,,588,940,29
1991,,70,0,3.0661974,1334417.5,32836.76,13590.503,,,941,33
2011,,0,0,41.42641,91812.81,2144.8582,50284.38,,,942,29
1998,,0,0,0.061161462,0,9.194968,167.6241,,,943,25
2004,,0,0,1.034148,0,6.183282,885.7057,,,944,22
1992,,14,0,3.1702607,1375949.5,26514.867,14264.956,,,945,33
2012,,0,0,39.959385,83082.195,1791.7748,49731.21,,,946,29
2005,,0,0,0.9279425,0,6.166904,861.9461,,,947,22
1993,,77,0,3.262146,1415059.2,21884.469,14888.173,,,948,33
1999,,0,0,0.03964211,0,9.484067,171.07318,,93,949,25
2013,,0,0,38.89269,74924.15,1582.1355,49101.88,,,950,29
1994,,224,0,3.338784,1450381.6,19148.164,15440.445,,,951,33
2014,,0,0,38.195347,69103.54,1438.3927,48522.7,,,952,29
1995,,28,18,3.4080615,1486753.6,17609.203,15940.095,,,953,33
2000,,0,0,0.026372349,0,20.853146,174.03363,,,954,25
2015,,0,0,37.83384,67505.195,1299.9856,48126.58,,,955,29
1996,,3,9,3.4667444,1526548.5,16757.037,16414.408,,,956,33
2016,,0,0,37.735912,74756.17,1176.1777,47436.51,,,957,29
1997,,11,5,3.510973,1569140,16226.32,16894.668,,443,958,33
2001,,0,0,0.020040734,0,20.40916,174.2057,,,959,25
2017,,0,0,37.830875,82460.1,1022.10583,47118.29,,,960,29
1998,,7,34,3.5463817,1614498.2,15832.937,17387.652,,22,961,33
2018,,0,0,37.9119,72500.54,956.4579,47268.754,,,962,29
1999,,20,26,3.5681374,1656868.2,15466.335,17852.334,,,963,33
2002,,0,0,0.0137921255,0,20.545778,171.07115,,,964,25
2019,,0,0,37.87594,45388.746,898.8805,47103.652,,,965,29
2000,,3,35,3.5815775,1695260.2,15096.358,18281.168,,,966,33
2020,,0,0,,,,,,48,967,29
2003,,0,0,0.00827144,0,20.121607,166.4339,,,968,25
2001,,0,36,3.5694664,1740802.4,14739.112,18709.459,,,969,33
2010,802,0,0,86.96349,6509393,48530.797,32362.293,,10759,970,30
2002,,0,0,3.5116537,1793359.4,14399.567,19102.914,,,971,33
2004,,0,0,0.004214977,0,19.838978,162.65259,,,972,25
2011,133,0,0,88.5774,6499425.5,46974.5,32931.008,,22433,973,30
2003,,1,0,3.4396312,1848928,14051.888,19480.104,,,974,33
2012,59,0,0,89.89391,6489895.5,44605.207,33240.26,,363,975,30
2004,,60,0,3.3875067,1902654.5,13652.156,19860.234,,320,976,33
2005,,0,0,0.0024107392,0,19.751926,162.21387,,,977,25
2013,97,9,0,91.02134,6496766.5,42617.688,33465.94,,29,978,30
2005,,0,0,3.3856354,1944998,13189.018,20218.385,,0,979,33
2014,530,10,0,92.12273,6537435,40772.77,33763.516,,3355,980,30
2006,,0,0,3.4326255,1966588.5,12762.361,20550.605,,0,981,33
2006,,0,0,0.0019680418,0,20.494265,164.57666,,,982,25
2015,463,0,0,93.33999,6630848.5,38430.363,34334.926,,124,983,30
2007,,0,0,3.5013564,1970893.6,12380.837,20886.268,,,984,33
2007,,0,0,0.0015723995,0,21.314978,167.53415,,,985,25
2016,890,0,0,93.50799,6934269.5,36018.25,35421.566,,,986,30
2009,,16,0,3.6857622,1972016.8,11571.049,21715.129,,,987,33
1980,,1785,0,,,,,,229,988,30
2010,,0,0,3.7749622,1983123,11158.713,22188.22,,,989,33
2008,,0,0,0.001246573,0,22.544987,170.94446,,,990,25
1981,,2331,0,,,,,,243,991,30
2011,,4,0,3.8123589,1989299.1,10732.166,22522.734,,117,992,33
1982,,1610,0,,,,,,5,993,30
2013,,0,0,3.6358962,1904411,10007.935,22130.25,,,994,33
2009,,0,0,0.0010263145,0,25.036013,174.68932,,,995,25
2014,,0,0,3.5346906,1861225,9198.485,21977.152,,,996,33
1983,,1057,0,,,,,,55,997,30
2006,,0,0,0.8108592,0,6.376327,840.70605,,,998,22
2015,,0,0,3.4870713,1839829.6,8295.489,22124.145,,,999,33
1984,,959,0,,,,,,392,1000,30
