Year,Number_yaws,polio_cases,cases_guinea_worm,Number_rabies,Number_malaria,Number_hiv,Number_tuberculosis,Number_smallpox,Number_cholera_cases,id,entity_id
1993,,1043,0,15.721999,3761338.8,6623.8984,33963.746,,,214,5
1990,,0,0,0.024380464,0,3.1844528,216.81024,,,215,2
2005,,0,0,0.016981225,0,917.2,1181.1459,,2,216,9
1991,,7,0,0.024485007,0,3.4546475,211.27489,,,217,2
1992,,0,0,0.02434144,0,3.6710289,205.64603,,,218,2
2006,,0,0,0.018252635,0,978.9934,1191.7349,,3,219,9
1993,,7,0,0.024078405,0,3.7128205,200.16772,,,220,2
2007,,0,0,0.019713476,0,1064.9827,1206.165,,3,221,9
1994,,0,0,0.023829417,0,3.6294198,195.05692,,626,222,2
2008,,0,0,0.021293463,0,1026.9813,1222.9801,,,223,9
2009,,0,0,0.022942321,0,1085.3138,1241.3044,,,224,9
2010,,0,0,0.024786152,0,1028.7885,1259.8943,,3,225,9
1995,,0,0,0.023583047,0,3.6543012,190.382,,,226,2
1996,,153,0,0.023025803,0,3.6918812,186.26813,,,227,2
1997,,0,0,0.02228408,0,3.6656888,187.33731,,,228,2
1989,,0,0,,,,,,,229,15
1998,,0,0,0.021406677,0,3.3509865,188.06995,,,230,2
2011,,0,0,0.028640883,0,1032.249,1277.1637,,6,231,9
1990,,0,0,0.006886444,0,87.559006,31.56529,,,232,15
2012,,0,0,0.03525196,0,1108.8146,1293.495,,5,233,9
1991,,0,0,0.0064080977,0,89.20039,30.769571,,,234,15
1999,,0,0,0.020316478,0,3.0105524,178.31313,,,235,2
1992,,0,0,0.005912091,0,88.65066,29.953423,,,236,15
2013,,0,0,0.042860776,0,1171.1143,1308.3037,,3,237,9
1993,,0,0,0.005465034,0,86.76474,29.127693,,,238,15
2000,,0,0,0.019605858,0,2.8395562,169.36588,,,239,2
2014,,0,0,0.04974804,0,1217.3619,1321.5658,,2,240,9
2001,,0,0,0.018726408,0,3.0764673,164.97337,,,241,2
2015,,0,0,0.05428063,0,1291.067,1333.6388,,2,242,9
2002,,0,0,0.016977258,0,3.2796018,160.23256,,,243,2
2003,,0,0,0.014738346,0,3.499513,155.23741,,,244,2
1994,,0,0,0.005141724,0,83.48273,28.31678,,,245,15
2004,,0,0,0.012657572,0,3.3179362,150.11584,,,246,2
2016,,0,0,0.055543594,0,1350.7949,1335.7676,,1,247,9
1995,,0,0,0.00502119,0,80.90013,27.549547,,,248,15
2017,,0,0,0.05548405,0,1410.1378,1337.8672,,3,249,9
1996,,0,0,0.0049421377,0,79.4604,26.742962,,,250,15
2018,,0,0,0.054880887,0,1473.1278,1352.401,,,251,9
1997,,0,0,0.0047510755,0,78.08847,25.870117,,,252,15
2005,,0,0,0.011491771,0,2.9770734,145.20651,,,253,2
1998,,0,0,0.0045356406,0,76.38534,25.040598,,,254,15
1994,,378,0,15.794446,3894744,8285.543,35081.34,,3443,255,5
2019,,0,0,0.052932423,0,1487.2773,1373.7148,,2,256,9
1995,,1064,0,15.855254,4036519.2,10038.777,36252.2,,3295,257,5
1999,,0,0,0.004381211,0,75.01343,24.362495,,,258,15
2020,,0,0,,,,,,,259,9
1996,,90,0,15.808929,4185122,11805.031,37436.49,,1306,260,5
2000,,0,0,0.004370021,0,73.455345,23.93168,,,261,15
1997,,17,0,15.596138,4338616,13511.703,38623.605,,,262,5
1980,,7,0,,,,,,,263,10
1998,,8,0,15.278044,4495673,15092.233,39828.668,,,264,5
1981,,0,0,,,,,,,265,10
2001,,0,0,0.004485768,0,70.618996,23.682882,,,266,15
1982,,0,0,,,,,,,267,10
2002,,0,0,0.004645394,0,69.68538,23.48129,,,268,15
1983,,0,0,,,,,,,269,10
2003,,0,0,0.004838463,0,82.07176,23.333107,,,270,15
1999,,1224,0,14.939104,4658156,16503.838,41103.375,,,271,5
